trial_0: [395462.02331083297, 395467.039775292]
trial_1: [395474.638082125, 395479.660204958]
trial_2: [395487.22221745795, 395492.26232787495]
trial_3: [395499.858100292, 395504.887117875]
trial_4: [395512.441598042, 395517.47693025]
trial_5: [395525.024177167, 395530.06582270795]
trial_6: [395537.67913999996, 395542.73284941696]
trial_7: [395550.32046925, 395555.33665991697]
trial_8: [395562.909294875, 395567.923889833]
trial_9: [395575.48952174996, 395580.533812792]
trial_10: [395588.07965312497, 395593.11516079196]
trial_11: [395600.66645866696, 395605.691544792]
trial_12: [395613.26608045795, 395618.291478667]
trial_13: [395625.8462935, 395630.878720292]
trial_14: [395638.43019012496, 395643.455177625]
trial_15: [395651.01300591696, 395656.037681708]
prompts: ['Flip', 'Flip', 'Left Fist', 'Twizzle', 'Twizzle', 'Right Fist', 'Left Fist', 'Twizzle', 'Left Fist', 'Left Fist', 'Flip', 'Right Fist', 'Twizzle', 'Right Fist', 'Right Fist', 'Flip']
