rate: start_time, end_time
0.000: 7512.0204655, 7514.9566909
8.4: 7514.9606908999995, 7520.0458217
14.800000000000006: 7523.0064935, 7528.0757471
10.000000000000002: 7531.0021437, 7536.1094854
9.200000000000001: 7539.1134360999995, 7544.1410694999995
12.400000000000004: 7547.081674799999, 7552.1706389
14.000000000000005: 7555.0906565, 7560.1974817
13.200000000000005: 7563.1620904, 7568.2223774
15.600000000000007: 7571.1928949, 7576.2570878999995
10.800000000000002: 7579.187352, 7584.2936466
11.600000000000003: 7587.200600499999, 7592.3165725
