rate: start_time, end_time
baseline: '2023-03-14T10:51:38.241787', '2023-03-14T10:51:43.241728'
11.600000000000003: '2023-03-14T10:51:43.243004', '2023-03-14T10:51:51.017335'
12.400000000000004: '2023-03-14T10:51:56.018788', '2023-03-14T10:52:03.781527'
14.000000000000005: '2023-03-14T10:52:08.783156', '2023-03-14T10:52:16.530401'
10.800000000000002: '2023-03-14T10:52:21.531916', '2023-03-14T10:52:29.299885'
9.200000000000001: '2023-03-14T10:52:34.301065', '2023-03-14T10:52:42.082985'
13.200000000000005: '2023-03-14T10:52:47.084370', '2023-03-14T10:52:54.895260'
10.000000000000002: '2023-03-14T10:52:59.896748', '2023-03-14T10:53:07.692786'
14.800000000000006: '2023-03-14T10:53:12.694481', '2023-03-14T10:53:20.476500'
8.4: '2023-03-14T10:53:25.478036', '2023-03-14T10:53:33.269147'
15.600000000000007: '2023-03-14T10:53:38.270678', '2023-03-14T10:53:46.060015'
